NOC,Sport,Event,TotalMedals,GoldMedals,SportEvent,rank
PAN,Boxing,Women's 75kg,1,0,Boxing - Women's 75kg,2
PER,Sailing,Men's Dinghy,1,0,Sailing - Men's Dinghy,1
PHI,Artistic Gymnastics,Men's Floor Exercise,1,1,Artistic Gymnastics - Men's Floor Exercise,1
PHI,Weightlifting,Women's 55kg,1,1,Weightlifting - Women's 55kg,2
PHI,Artistic Gymnastics,Men's Vault,1,1,Artistic Gymnastics - Men's Vault,3
POL,Athletics,4 x 400m Relay Mixed Team,11,11,Athletics - 4 x 400m Relay Mixed Team,1
POL,Rowing,Rowing Men's Quadruple Sculls,4,4,Rowing - Rowing Men's Quadruple Sculls,2
POL,Rowing,Rowing Women's Double Sculls,4,2,Rowing - Rowing Women's Double Sculls,3
POR,Cycling Track,Men's Madison,2,2,Cycling Track - Men's Madison,1
POR,Athletics,Athletics Men's Triple Jump,1,1,Athletics - Athletics Men's Triple Jump,2
POR,Athletics,Men's Triple Jump,2,1,Athletics - Men's Triple Jump,3
PRK,Weightlifting,Weightlifting Women's Middleweight,2,1,Weightlifting - Weightlifting Women's Middleweight,1
PRK,Judo,Judo Women's Half-Lightweight,2,1,Judo - Judo Women's Half-Lightweight,2
PRK,Gymnastics,Gymnastics Women's Horse Vault,1,1,Gymnastics - Gymnastics Women's Horse Vault,3
PUR,Tennis,Tennis Women's Singles,1,1,Tennis - Tennis Women's Singles,1
PUR,Athletics,Women's 100m Hurdles,2,1,Athletics - Women's 100m Hurdles,2
PUR,Athletics,Athletics Men's 400 metres Hurdles,1,0,Athletics - Athletics Men's 400 metres Hurdles,3
QAT,Weightlifting,Men's 96kg,1,1,Weightlifting - Men's 96kg,1
QAT,Athletics,Men's High Jump,2,1,Athletics - Men's High Jump,2
QAT,Shooting,Shooting Men's Skeet,1,0,Shooting - Shooting Men's Skeet,3
ROC,Artistic Swimming,Team,8,8,Artistic Swimming - Team,1
ROC,Artistic Gymnastics,Men's Team,4,4,Artistic Gymnastics - Men's Team,2
ROC,Artistic Gymnastics,Women's Team,4,4,Artistic Gymnastics - Women's Team,3
ROU,Rowing,Women's Eight,9,9,Rowing - Women's Eight,1
ROU,Fencing,"Fencing Women's epee, Team",4,4,"Fencing - Fencing Women's epee, Team",2
ROU,Rowing,Rowing Women's Coxless Pairs,2,2,Rowing - Rowing Women's Coxless Pairs,3
RSA,Rowing,Rowing Men's Lightweight Coxless Fours,4,4,Rowing - Rowing Men's Lightweight Coxless Fours,1
RSA,Swimming,Swimming Men's 200 metres Butterfly,1,1,Swimming - Swimming Men's 200 metres Butterfly,2
RSA,Athletics,Athletics Women's 800 metres,2,1,Athletics - Athletics Women's 800 metres,3
RUS,Synchronized Swimming,Synchronized Swimming Women's Team,27,27,Synchronized Swimming - Synchronized Swimming Women's Team,1
RUS,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,17,17,Rhythmic Gymnastics - Rhythmic Gymnastics Women's Group,2
RUS,Handball,Handball Women's Handball,29,15,Handball - Handball Women's Handball,3
SGP,Swimming,Swimming Men's 100 metres Butterfly,1,1,Swimming - Swimming Men's 100 metres Butterfly,1
SGP,Table Tennis,Table Tennis Women's Singles,1,0,Table Tennis - Table Tennis Women's Singles,2
SGP,Table Tennis,Table Tennis Women's Team,6,0,Table Tennis - Table Tennis Women's Team,3
SLO,Judo,Judo Women's Half-Middleweight,2,2,Judo - Judo Women's Half-Middleweight,1
SLO,Athletics,Athletics Men's Hammer Throw,2,1,Athletics - Athletics Men's Hammer Throw,2
SLO,Canoe Slalom,Men's Canoe,1,1,Canoe Slalom - Men's Canoe,3
SMR,Wrestling,Men's Freestyle 86kg,1,0,Wrestling - Men's Freestyle 86kg,1
SMR,Shooting,Trap Mixed Team,2,0,Shooting - Trap Mixed Team,2
SMR,Shooting,Trap Women,1,0,Shooting - Trap Women,3
SRB,Water Polo,Water Polo Men's Water Polo,39,13,Water Polo - Water Polo Men's Water Polo,1
SRB,Water Polo,Men Team,13,13,Water Polo - Men Team,2
SRB,Water Polo,Men,13,13,Water Polo - Men,3
SUD,Athletics,Athletics Men's 800 metres,1,0,Athletics - Athletics Men's 800 metres,1
SUI,Rowing,Rowing Men's Lightweight Coxless Fours,4,4,Rowing - Rowing Men's Lightweight Coxless Fours,1
SUI,Cycling,Cycling Men's Individual Time Trial,2,2,Cycling - Cycling Men's Individual Time Trial,2
SUI,Tennis,Tennis Men's Doubles,2,2,Tennis - Tennis Men's Doubles,3
SVK,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",6,4,"Canoeing - Canoeing Men's Canadian Doubles, Slalom",1
SVK,Canoeing,"Canoeing Men's Canadian Singles, Slalom",3,1,"Canoeing - Canoeing Men's Canadian Singles, Slalom",2
SVK,Canoeing,"Canoeing Women's Kayak Singles, Slalom",1,1,"Canoeing - Canoeing Women's Kayak Singles, Slalom",3
SWE,Equestrian,Jumping Team,4,4,Equestrian - Jumping Team,1
SWE,Sailing,Sailing Men's Two Person Keelboat,4,2,Sailing - Sailing Men's Two Person Keelboat,2
SWE,Athletics,Men's Pole Vault,2,2,Athletics - Men's Pole Vault,3
SYR,Weightlifting,Men's +109kg,1,0,Weightlifting - Men's +109kg,1
THA,Taekwondo,Women -49kg,2,2,Taekwondo - Women -49kg,1
THA,Weightlifting,Weightlifting Women's Featherweight,1,1,Weightlifting - Weightlifting Women's Featherweight,2
THA,Boxing,Boxing Men's Flyweight,1,1,Boxing - Boxing Men's Flyweight,3
TJK,Athletics,Athletics Men's Hammer Throw,1,1,Athletics - Athletics Men's Hammer Throw,1
TJK,Boxing,Boxing Women's Lightweight,1,0,Boxing - Boxing Women's Lightweight,2
TJK,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",1,0,"Wrestling - Wrestling Men's Light-Heavyweight, Freestyle",3
TKM,Weightlifting,Women's 59kg,1,0,Weightlifting - Women's 59kg,1
TOG,Canoeing,"Canoeing Men's Kayak Singles, Slalom",1,0,"Canoeing - Canoeing Men's Kayak Singles, Slalom",1
TPE,Badminton,Men's Doubles Team,2,2,Badminton - Men's Doubles Team,1
TPE,Badminton,Men's Doubles,2,2,Badminton - Men's Doubles,2
TPE,Weightlifting,Weightlifting Women's Featherweight,2,1,Weightlifting - Weightlifting Women's Featherweight,3
TTO,Athletics,Athletics Men's 4 x 100 metres Relay,9,5,Athletics - Athletics Men's 4 x 100 metres Relay,1
TTO,Athletics,Athletics Men's Javelin Throw,2,1,Athletics - Athletics Men's Javelin Throw,2
